_id,designation,commonName,type,magnitude,size,distance,constellation,season,rightAscension,declination,catalog,otherCatalogs,imageResource,nightImageResource,logged,logDate,logTime,logLocation,telescope,eyepiece,seeing,transparency,favorite,findingMethod,viewingNotes
NULL,M94,NULL,Spiral Galaxy,9.0,11.2' x 9.1',16 million ly,Canes Venatici,Spring,12h 50m 53.1s,+41° 07' 14\",Messier,NGC 4736,M94.gif,M94.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M95,NULL,Barred Spiral Galaxy,11.4,3.1' x 2.9',32.6 million ly,Leo,Spring,10h 43m 57.7s,+11° 42' 14\",Messier,NGC 3351,M95.gif,M95.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M96,NULL,Spiral Galaxy,10.1,7.6' x 5.2',31 million ly,Leo,Spring,10h 46m 45.7s,+11° 49' 12\",Messier,NGC 3368,M96.gif,M96.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M97,Owl Nebula,Planetary Nebula,9.9,3.4' x 3.3',2:600 ly,Ursa Major,Spring,11h 14m 48s,+55° 01' 00\",Messier,NGC 3587,M97.gif,M97.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M98,NULL,Spiral Galaxy,11.0,9.8' x 2.8',54.1 million ly,Coma Berenices,Spring,12h 13m 48.3s,+14° 54' 01\",Messier,NGC 4192,M98.gif,M98.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M99,NULL,Spiral Galaxy,10.4,5.4' x 4.7',50.2 million ly,Coma Berenices,Fall,12h 18m 49.6s,+14° 24' 59\",Messier,NGC 4254,M99.gif,M99.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M100,NULL,Spiral Galaxy,10.1,7.4' x 6.3',55 million ly,Coma Berenices,Spring,12h 22m 54.9s,+15° 49' 21\",Messier,NGC 4321,M100.gif,M100.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M101,Pinwheel Galaxy,Spiral Galaxy,7.9,28.8' x 26.9',20.9 million ly,Ursa Major,Spring,14h 03m 12.6s,+54° 20' 57\",Messier,NGC 5457: Arp 26,M101.gif,M101.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M102,Spindle Galaxy,Lenticular Galaxy,10.7,4.7' x 1.9',50 million ly,Draco,Summer,15h 06m 29.5s,+55° 45' 48\",Messier,NGC 5866,M102.gif,M102.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M103,NULL,Open Cluster,7.4,6.0' x 6.0',10:000 ly,Cassiopeia,Winter,01h 33m 12s,+60° 42' 00\",Messier,NGC 581,M103.gif,M103.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M104,Sombrero Galaxy,Spiral Galaxy,9.0,8.7' x 3.5',29.3 million ly,Virgo,Spring,12h 39m 59.4s,-11° 37' 23\",Messier,NGC 4594,M104.gif,M104.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M105,NULL,Elliptical Galaxy,10.2,5.4' x 4.8',32 million ly,Leo,Spring,10h 47m 49.6s,+12° 34' 54\",Messier,NGC 3379,M105.gif,M105.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M106,NULL,Spiral Galaxy,9.1,18.6' x 7.2',23.7 million ly,Canes Venatici,Spring,12h 18m 57.5s,+47° 18' 14\",Messier,NGC 4258,M106.gif,M106.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M107,NULL,Globular Cluster,8.9,13' x 13',20:900 ly,Ophiuchus,Summer,16h 32m 31.91s,-13° 03' 13.1\",Messier,NGC 6171: GCI 44,M107.gif,M107.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M108,NULL,Spiral Galaxy,10.7,8.7' x 2.2',14.1 million ly,Ursa Major,Spring,11h 11m 31s,+55° 40' 27\",Messier,NGC 3556,M108.gif,M108.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M109,NULL,Barred Spiral Galaxy,10.6,7.6' x 4.7',83.5 million ly,Ursa Major,Spring,11h 57m 36s,+53° 22' 28\",Messier,NGC 3992,M109.gif,M109.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M110,NULL,Dwarf Elliptical Galaxy,8.9,21.9' x 11',2.69 million ly,Andromeda,Winter,00h 40m 22.1s,+41° 41' 07\",Messier,NGC 205,M110.gif,M110.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
